t (s),V (mV)
0,15.3646
1.049,15.3472
2.1,15.3181
3.126,15.2975
4.125,15.2798
5.125,15.2604
6.125,15.2329
7.126,15.2122
8.125,15.188
9.125,15.1613
10.126,15.1361
11.126,15.1075
12.125,15.095
13.126,15.0746
14.126,15.0442
15.125,15.0222
16.125,14.9878
17.126,14.9654
18.126,14.9529
19.126,14.9186
20.125,14.8844
21.125,14.8676
22.125,14.8372
23.125,14.8108
24.125,14.7859
25.126,14.7573
26.126,14.7349
27.125,14.7067
28.125,14.6861
29.125,14.6618
30.125,14.632
31.126,14.6116
32.126,14.5886
33.125,14.5634
34.126,14.5446
35.125,14.5193
36.125,14.4904
37.126,14.4703
38.125,14.4429
39.125,14.4125
40.126,14.3925
41.125,14.3623
42.125,14.3472
43.125,14.3211
44.125,14.3005
45.125,14.2768
46.125,14.2518
47.125,14.2216
48.125,14.1939
49.125,14.1765
50.126,14.1493
51.125,14.1266
52.125,14.1082
53.125,14.0856
54.125,14.0665
55.126,14.0403
56.125,14.0211
57.125,14.0021
58.126,13.9796
59.125,13.9553
60.125,13.9324
61.126,13.902
62.125,13.8824
63.125,13.8566
64.126,13.8363
65.126,13.8161
66.125,13.7914
67.126,13.7735
68.125,13.7478
69.125,13.725
70.125,13.7048
71.125,13.6865
72.125,13.6603
73.126,13.6432
74.125,13.6235
75.125,13.5995
76.125,13.5793
77.125,13.5598
78.125,13.5373
79.126,13.5203
80.126,13.5016
81.126,13.482
82.126,13.4614
83.126,13.4449
84.126,13.422
85.125,13.3967
86.125,13.369
87.125,13.35
88.125,13.3271
89.125,13.3063
90.126,13.2844
91.126,13.2689
92.125,13.2498
93.126,13.2283
94.125,13.2142
95.125,13.1908
96.126,13.1742
97.125,13.153
98.125,13.1323
99.126,13.1097
100.126,13.1154
101.125,13.0924
102.125,13.0775
103.126,13.0594
104.125,13.038
105.125,13.0176
106.126,12.9978
107.126,12.9771
108.125,12.9547
109.125,12.9359
110.126,12.9241
111.126,12.9029
112.125,12.8876
113.125,12.8648
114.125,12.8449
115.126,12.8203
116.125,12.8131
117.125,12.7921
118.125,12.7701
119.125,12.7573
120.125,12.745
121.125,12.7322
122.125,12.7021
123.125,12.6891
124.125,12.6693
125.125,12.6525
126.125,12.633
127.126,12.6098
128.126,12.5956
129.126,12.5766
130.126,12.5669
131.126,12.5527
132.126,12.526
133.126,12.5128
134.125,12.4923
135.126,12.4869
136.125,12.4696
137.126,12.4485
138.125,12.4328
139.125,12.4146
140.126,12.3962
141.125,12.3851
142.126,12.365
143.125,12.3477
